source_id,target_id,relation_type,target_in_dataset,used_for_grouping
7985,3496,SEQUEL,True,True
7985,6939,SEQUEL,True,True
8348,4705,PREQUEL,False,False
8348,2001,PARENT,True,True
8362,8361,PREQUEL,False,False
8362,2450,SEQUEL,True,True
8362,966,PARENT,False,False
8490,552,PARENT,False,False
8604,15545,PARENT,False,False
8604,178602,PARENT,False,False
8848,1093,PREQUEL,False,False
8848,8842,SEQUEL,False,False
9451,1960,PARENT,False,False
9907,15051,PARENT,True,True
9911,17919,ALTERNATIVE,True,True
10679,9712,PARENT,True,True
10917,10916,PREQUEL,False,False
10917,527,PARENT,False,False
11033,15051,PARENT,True,True
12079,139303,CHARACTER,True,False
12079,7059,CHARACTER,True,False
12079,11285,CHARACTER,True,False
12101,176,PARENT,True,True
12101,76,ALTERNATIVE,True,True
12481,6069,PREQUEL,False,False
12481,12483,SEQUEL,True,True
12483,12481,PREQUEL,True,True
12637,15051,PARENT,True,True
12885,938,OTHER,True,False
13201,1469,PREQUEL,False,False
13201,15937,SEQUEL,True,True
14951,15051,PARENT,True,True
16480,4459,PARENT,False,False
17405,166054,ALTERNATIVE,False,False
17641,15583,PREQUEL,True,True
17641,19163,SEQUEL,True,True
17659,1016,PARENT,False,False
19159,18465,SEQUEL,True,True
19159,2508,PREQUEL,True,True
20187,17651,PREQUEL,True,True
20825,4244,OTHER,False,False
21628,1387,PARENT,True,True
87488,21379,PARENT,True,True
98976,102598,ALTERNATIVE,False,False
98976,102601,OTHER,False,False
98976,102599,OTHER,False,False
98976,102600,OTHER,False,False
99164,21584,CHARACTER,True,False
99164,112074,PARENT,False,False
99165,15051,CHARACTER,True,False
100294,99200,PREQUEL,False,False
100294,104745,SEQUEL,False,False
100718,20541,PARENT,True,True
5,1,PARENT,False,False
22,995,SEQUEL,True,True
22,814,SIDE_STORY,True,True
22,815,SIDE_STORY,True,True
22,1190,SIDE_STORY,False,False
22,5996,SIDE_STORY,True,True
22,6749,SIDE_STORY,False,False
22,10276,SIDE_STORY,True,True
22,10731,SIDE_STORY,True,True
22,10862,SIDE_STORY,True,True
22,20942,SIDE_STORY,True,True
22,109097,SUMMARY,True,True
52,2768,CHARACTER,True,False
120,105334,ALTERNATIVE,True,True
124,381,PREQUEL,False,False
135,645,SEQUEL,True,True
135,10765,ALTERNATIVE,True,True
154,3861,SUMMARY,True,True
154,119675,ALTERNATIVE,True,True
156,1043,PREQUEL,False,False
156,155,ALTERNATIVE,False,False
156,595,PREQUEL,True,True
156,177,CHARACTER,True,False
156,2768,CHARACTER,True,False
168,12223,SUMMARY,True,True
168,10592,SUMMARY,True,True
181,180,PREQUEL,True,True
181,1111,SUMMARY,True,True
187,186,PREQUEL,False,False
187,18,SEQUEL,True,True
187,822,SIDE_STORY,True,True
187,12725,SUMMARY,True,True
187,821,SUMMARY,True,True
192,189,PARENT,True,True
199,211260,CHARACTER,False,False
208,209,SEQUEL,True,True
101184,97815,PARENT,True,True
101184,127149,CHARACTER,True,False
101184,131867,CHARACTER,False,False
101184,132424,CHARACTER,False,False
101184,179978,CHARACTER,False,False
101184,180730,CHARACTER,False,False
101184,180742,CHARACTER,False,False
101184,180743,CHARACTER,False,False
101184,180744,CHARACTER,False,False
101184,185940,CHARACTER,False,False
101184,196881,CHARACTER,False,False
102305,20800,PARENT,True,True
102657,102658,SEQUEL,False,False
102775,102776,SEQUEL,False,False
102775,102779,SIDE_STORY,False,False
102775,102778,CHARACTER,False,False
102775,102780,CHARACTER,False,False
102775,129671,SPIN_OFF,False,False
103161,103162,SEQUEL,True,True
103161,129547,SPIN_OFF,False,False
103161,188036,ALTERNATIVE,False,False
103162,103161,PREQUEL,True,True
103162,115864,SEQUEL,False,False
106921,149084,PREQUEL,False,False
108337,151685,PARENT,True,True
112006,1960,PARENT,False,False
117411,2609,PARENT,False,False
119946,148,PARENT,True,True
121828,1960,PARENT,False,False
132938,6069,PARENT,False,False
145766,3545,PARENT,False,False
145767,3545,PARENT,False,False
146664,111,PREQUEL,False,False
150007,5232,ALTERNATIVE,False,False
176864,195965,SEQUEL,False,False
181868,103324,CHARACTER,False,False
207486,6653,ALTERNATIVE,False,False
207486,1491,ALTERNATIVE,False,False
246,18393,CHARACTER,True,False
253,254,SEQUEL,True,True
253,17785,ALTERNATIVE,True,True
259,260,ALTERNATIVE,True,True
270,777,ALTERNATIVE,True,True
276,277,SEQUEL,True,True
276,3085,CHARACTER,True,False
287,551,SEQUEL,True,True
287,1859,ALTERNATIVE,False,False
288,1669,SEQUEL,True,True
288,5962,OTHER,True,False
288,136668,ALTERNATIVE,True,True
288,13231,OTHER,True,False
288,21236,OTHER,True,False
288,101115,OTHER,True,False
