Epoch,Train_Loss,Val_Loss,Macro_F1,Samples_F1,Hamming_Loss,mAP
1,0.3264405859512211,0.32565938620882096,0.0750978140024311,0.2081262478229472,0.1239964317573595,0.23300264897307824
2,0.3135140066176397,0.32274737403820286,0.064943522553545,0.25631239114735993,0.12413728344053711,0.24019175054170275
3,0.3089885381472035,0.6704414559197575,0.048272166049892686,0.1671424323520666,0.1512277571716982,0.21369857945049067
4,0.3061599844272906,0.30802258546069516,0.09882661434612898,0.2697173725273636,0.12033428799474154,0.2626953480502822
5,0.3030922214034893,0.3475514920187464,0.07436044713890676,0.2711000665505572,0.12718906990938542,0.23782388474420652
6,0.2997827905023206,0.33398465962414225,0.101967864987535,0.2519710292680855,0.1249823935396028,0.25372980500818737
7,0.2973620434371411,0.30673656412578926,0.12439617524970153,0.3136301204989876,0.12117939809380722,0.2756878208184142
8,0.2931855557798554,0.3020969107148905,0.10238071053794887,0.3106332214717585,0.11925442509037983,0.28643605052514387
9,0.2899255918494237,0.3113779914527999,0.128417278456231,0.32737564249607065,0.12066294192215597,0.27784142977295945
10,0.2868093809698713,0.32761593201562406,0.12984770576300664,0.28432734378318675,0.12357387670782666,0.2738537182909959
11,0.28115757031806465,0.31184156516851,0.17590994844432023,0.35307548532347816,0.12366777782994506,0.28681804464373006
12,0.2763269283821557,0.3154297159996339,0.13351681281976366,0.27929498888464094,0.12141415089910325,0.2809208342732313
13,0.26764907796787235,0.31653000942093257,0.15593662372117806,0.31462715597416757,0.12488849241748438,0.284955645554063
14,0.25613948117047,0.35203934045480256,0.20020152755761367,0.3653009642750945,0.12977135076764168,0.27920322049163676
15,0.24050284169329003,0.36002284275113633,0.19137065282394097,0.32806097163813486,0.13371519789661487,0.2767571624492615
16,0.21667028196797355,0.35382587781024766,0.21667972195059107,0.36146793537516103,0.1371425888539368,0.26135499439438853
17,0.18869634752389614,0.41055192918675376,0.20380214986184703,0.37616588981441795,0.15038264707263252,0.25873097076148066
18,0.16011770795109523,0.4058154784973767,0.19666527947052917,0.3333984679212155,0.13855110568571294,0.26122607712179846
19,0.12772418097937574,0.4677485572132652,0.19467220113469239,0.30874431842317657,0.15291797736982957,0.24530975836040952
20,0.0990377649460252,0.5114975597154445,0.22544892437213435,0.3297139870734875,0.15484295037325696,0.25312570891551645
21,0.07190924034519122,0.5637589722313485,0.2102797613849238,0.3575471163785169,0.14596929433306727,0.24110668480010955
22,0.05227615289781873,0.6611503617344532,0.18394828484079995,0.31495566085218185,0.14587539321094886,0.2475590623217056
23,0.03886008233271154,0.6467065429389742,0.2141870001021582,0.36343548908223305,0.1462979482604817,0.25326143919416566
24,0.027938830021274293,0.6839235485078605,0.20890582339499744,0.3269737003010865,0.13657918212122636,0.2526002945515186
25,0.02097522721224409,0.6916262280930375,0.2388100141400836,0.36562946915310873,0.15892764918540778,0.25832939039707253
26,0.014398140985004216,0.6750498265692637,0.22915228357360462,0.34070242375327126,0.15099300436640217,0.2447036166995274
27,0.011400036977439123,0.7360613886848504,0.21217109504117762,0.3218175768131165,0.13554626977792383,0.25175464445117085
28,0.008163982663807695,0.7533710069894578,0.2379433322833541,0.39058727970413964,0.14836377294708672,0.25516681800060875
29,0.0069721943066746875,0.7818707195804334,0.20931464386569534,0.30026594477977175,0.1451711347950608,0.24944291437732696
30,0.007007778173029103,0.8555798682647555,0.20508884546418596,0.28287829228953226,0.14329311235269263,0.25072098038335744
31,0.00906669950817457,0.8517688081585648,0.21718214018519508,0.3293843880373764,0.14775341565331707,0.24864728233210498
