epoch,train_loss,val_loss,mAP,macro_f1,samples_f1,hamming_loss,learning_rate,epoch_seconds
1,0.3306985957635571,0.3388777866520911,0.208521566292477,0.06166822439661,0.146329099585121,0.127564674397859,0.001,
2,0.3145640999947167,0.3252390464909049,0.2310070524596245,0.068812347868544,0.2609872137972048,0.1239964317573595,0.001,
3,0.3097522769028072,0.3689359774768193,0.2221092366779671,0.04928915214074,0.1699014485365957,0.133762148457674,0.001,
4,0.3059363483124923,0.3108454124933901,0.2573749542701067,0.1050320922849397,0.3075449924245642,0.1213202497769848,0.001,
5,0.3017033303976458,0.3057748772915084,0.2737190788248954,0.1084014293110513,0.287923905809722,0.1208037936053335,0.001,
6,0.2983691357296599,0.311364379129061,0.2618873996275921,0.1070491197472974,0.2679962618410432,0.1202403868726231,0.001,
7,0.2960240972871238,0.3053821980102481,0.2718299488974297,0.1127604680372102,0.3289650680373249,0.1184562655523733,0.001,
8,0.2916061433881232,0.3205894891913717,0.2654174254805839,0.1137354981412463,0.2428040440083258,0.1275177238367998,0.001,
9,0.2890515345154669,0.3180041632728849,0.2693208053051076,0.0989606851689701,0.2593036262973818,0.1234799755857082,0.001,
10,0.2841506242765384,0.3078877565373702,0.2750534796917975,0.1111094683475989,0.3147246647692678,0.1186910183576693,0.001,
11,0.2813203047132923,0.3210656536306046,0.2717671153301729,0.1312366976427438,0.325788340908769,0.1241372834405371,0.001,
12,0.2734951119584218,0.3220493313087936,0.2807798653313325,0.1790625566612318,0.3437959305042266,0.1324005821869571,0.001,
13,0.2652026508067939,0.3845900992375203,0.2461585715039487,0.1307628355443836,0.2909385044532234,0.1451711347950608,0.001,
14,0.2553551681135945,0.3161777591567077,0.2754837557557624,0.1555098019627831,0.2775151154722965,0.1254518991501948,0.001,
15,0.2407536491031317,0.3388892303451058,0.2705051994449411,0.1770925042035651,0.3214830862466901,0.127564674397859,0.001,
16,0.2193675670384748,0.3757117298381016,0.2664806982413497,0.18188208195743,0.3548485363382776,0.1367669843654631,0.001,
17,0.1907120915253513,0.4060027038381101,0.2648015190297074,0.198287596815222,0.3642492852573138,0.1426827550589229,0.001,
18,0.1572949878569491,0.4297319089962264,0.2479127287206704,0.2320299493695563,0.341363874503928,0.1542325930794873,0.001,
19,0.1245007372139034,0.4753556541573459,0.2466483836828485,0.170535139810653,0.2904953060617645,0.1357810225832198,0.001,
20,0.0926968854719657,0.4903402815271338,0.2390602582186752,0.1981251039315532,0.3368005272554782,0.1392084135405418,0.001,
21,0.0684686018541027,0.5592821290937521,0.2557220785974655,0.2144822657134028,0.3178583335586011,0.1543734447626649,0.001,
22,0.0449349315997358,0.5938892991919267,0.2424298251097232,0.1905394584103395,0.3623557481273806,0.1474247617259026,0.001,
