split,model_id,genre,positive_count,mean_average_precision,sample_standard_deviation,minimum,maximum
validation,baseline,Action,305,0.5191948246860221,0.021935624302221877,0.4968149822772985,0.5406574575016747
validation,baseline,Adventure,175,0.3059622768747754,0.017809318131450785,0.291241636178179,0.3257583869212996
validation,baseline,Comedy,487,0.6658723862556895,0.027450615428746137,0.6351322807166091,0.6879372669544275
validation,baseline,Drama,222,0.31976100909054245,0.015815728342613723,0.3015996473858012,0.3305033062582891
validation,baseline,Ecchi,80,0.1464961692717227,0.04368779398284208,0.1153084886659086,0.1964283231166421
validation,baseline,Fantasy,274,0.4127074702990426,0.023044731852704448,0.3976777005948114,0.4392391683211239
validation,baseline,Hentai,137,0.838185249381041,0.014607524239407095,0.8279192153176219,0.8549086146759136
validation,baseline,Horror,39,0.1309940154649605,0.01219469396186911,0.1223497692515112,0.1449425769771702
validation,baseline,Mahou Shoujo,22,0.06621564216369877,0.009565048827695965,0.0599202560467027,0.0772224855773343
validation,baseline,Mecha,49,0.25700602141577883,0.01903923392677738,0.2360377960857207,0.2732122467500484
validation,baseline,Music,58,0.1665052272804596,0.048330160043459754,0.1346834945713528,0.2221192089456414
validation,baseline,Mystery,70,0.1639410274451434,0.01634609841013174,0.1454628514277586,0.1765136858425662
validation,baseline,Psychological,54,0.13892932608285788,0.012198886229224807,0.1248997488664566,0.1470354659545601
validation,baseline,Romance,167,0.24894687583670236,0.018283919505240116,0.2350285099874141,0.2696541870535223
validation,baseline,Sci-Fi,157,0.2976085996940277,0.020503289901345107,0.2791493747734478,0.3196767345878838
validation,baseline,Slice of Life,195,0.33389335813955373,0.04117446757690628,0.3021004923810662,0.3804042817934094
validation,baseline,Sports,61,0.1869763794632517,0.06129315439356861,0.1271058477591458,0.2495994159736805
validation,baseline,Supernatural,133,0.18557401189500147,0.017804884733831204,0.165304992728693,0.1986899753033693
validation,baseline,Thriller,18,0.0372755715844783,0.004682864198519259,0.0328123690652571,0.0421508605253566
validation,final-tri-model,Action,305,0.667300967469527,0.00790276350045236,0.6598297616594875,0.6755741340106962
validation,final-tri-model,Adventure,175,0.46196525739257893,0.021263405906337948,0.4414041377508044,0.4838674651192136
validation,final-tri-model,Comedy,487,0.7812110100626871,0.009749449491641879,0.7701792334554411,0.7886702701927861
validation,final-tri-model,Drama,222,0.42975811818551407,0.025024592881471325,0.4034547688116431,0.453269841505079
validation,final-tri-model,Ecchi,80,0.38885409759304773,0.05336331519062108,0.345945862085768,0.4486071174506962
validation,final-tri-model,Fantasy,274,0.610897083962131,0.014809178484663694,0.5939461468163347,0.6213247474023703
validation,final-tri-model,Hentai,137,0.9468849002491545,0.004323006228226987,0.9442530310887596,0.9518741618487188
validation,final-tri-model,Horror,39,0.20039599305897862,0.04474611465018693,0.1664976323897457,0.2511148437242576
validation,final-tri-model,Mahou Shoujo,22,0.21670419993471,0.005143959810464323,0.2108952375828287,0.2206821287467705
validation,final-tri-model,Mecha,49,0.7130232116167523,0.013338561413477086,0.6988623526837635,0.7253495705805897
validation,final-tri-model,Music,58,0.4794495830817865,0.0365174584851235,0.4392738251715283,0.5106260206206523
validation,final-tri-model,Mystery,70,0.21767577656011353,0.034591974305711294,0.1862023078748792,0.2547120475891629
validation,final-tri-model,Psychological,54,0.17762978025571055,0.014177360083598505,0.1644995186189988,0.1926621840089395
validation,final-tri-model,Romance,167,0.5195314832111011,0.007242928774987832,0.5124930369298824,0.5269628953424604
validation,final-tri-model,Sci-Fi,157,0.5162218402318994,0.01342010843663086,0.5009986634330799,0.5263415108797296
validation,final-tri-model,Slice of Life,195,0.4993739708699067,0.018374687573018186,0.4788838285663058,0.514388181848727
validation,final-tri-model,Sports,61,0.7057466318054156,0.020834086037378095,0.6901812424894401,0.7294147956914262
validation,final-tri-model,Supernatural,133,0.27614124241263127,0.0071646991262152996,0.2697230248605876,0.2838711670619407
validation,final-tri-model,Thriller,18,0.0731725974810256,0.00908340835218917,0.0632164688974886,0.0810080968138192
test,baseline,Action,326,0.5753465312096657,0.0062958971510131715,0.5710289409513373,0.582570613271179
test,baseline,Adventure,173,0.2675976372033861,0.008488499280890325,0.26151337768808613,0.2772949123129076
test,baseline,Comedy,485,0.676621124899572,0.024630487359645015,0.6494430311753452,0.6974678796444462
test,baseline,Drama,203,0.28990922832210475,0.0017860069307875058,0.28791698311962205,0.29136691353741867
test,baseline,Ecchi,81,0.16576550785942784,0.0429662874613863,0.13412991790301454,0.21468154968390632
test,baseline,Fantasy,271,0.3790014927451509,0.018607282836676235,0.35982119056201856,0.3969772255509968
test,baseline,Hentai,144,0.8278196073034437,0.015539112660572283,0.8104867952050406,0.8405040030053257
test,baseline,Horror,25,0.11795803337420968,0.009960409976266692,0.10770879402251636,0.1276020099101736
test,baseline,Mahou Shoujo,37,0.26297856805961206,0.0293047057480436,0.23069211753658586,0.2878941711884742
test,baseline,Mecha,65,0.24187520925714834,0.04684873820850127,0.20173034275739748,0.29334981666768617
test,baseline,Music,45,0.09500153130947338,0.006793456036029556,0.08718942043870276,0.09952340954449909
test,baseline,Mystery,57,0.13481945289250044,0.007575853123249537,0.12841625457589673,0.1431827222295073
test,baseline,Psychological,48,0.1253265607379733,0.013798593345888314,0.11125631481624546,0.13883642794874926
test,baseline,Romance,199,0.31377606980442857,0.010309924972360296,0.30212661965592646,0.32172500917198227
test,baseline,Sci-Fi,188,0.37801061242569833,0.028712046716274676,0.34565247557853696,0.40044226923112725
test,baseline,Slice of Life,219,0.4028329130924055,0.033337967875464745,0.37888769637064723,0.4409089704433422
test,baseline,Sports,53,0.08520797582015682,0.010671604506777354,0.07288651235539417,0.09150761872545138
test,baseline,Supernatural,122,0.2186891927680902,0.022029056120659297,0.19439400154700018,0.23736266580739218
test,baseline,Thriller,15,0.06252952484917436,0.01907508890109871,0.043278400606545336,0.08142356463032951
test,final-tri-model,Action,326,0.7044375386652794,0.016478746717840453,0.6854724343960241,0.7152590114222536
test,final-tri-model,Adventure,173,0.4167613172355317,0.009909251149334587,0.40566084155367615,0.4247152684678581
test,final-tri-model,Comedy,485,0.7753432782567197,0.008580378284127393,0.7654866749925029,0.7811424533397948
test,final-tri-model,Drama,203,0.42518949850721444,0.01880551382632185,0.41298271696847144,0.44684580583975936
test,final-tri-model,Ecchi,81,0.3583738605647027,0.010868182646359059,0.3479532650882048,0.3696402120073877
test,final-tri-model,Fantasy,271,0.5830073832277327,0.039871298824461235,0.5402917069414364,0.6192396531080175
test,final-tri-model,Hentai,144,0.9620092985770415,0.004665735001231819,0.9585246212442962,0.9673099867226964
test,final-tri-model,Horror,25,0.19661469438380785,0.030996921789925917,0.16803743267658056,0.229566504104867
test,final-tri-model,Mahou Shoujo,37,0.4285800386242285,0.017382907323397128,0.4107814054585134,0.4455150231997325
test,final-tri-model,Mecha,65,0.6112069626785025,0.011900435994474441,0.6040946366150016,0.6249455365413586
test,final-tri-model,Music,45,0.3085371123717772,0.0157080900627054,0.298271175606283,0.3266200614557926
test,final-tri-model,Mystery,57,0.2665992651942221,0.022526636564035273,0.245239874558602,0.2901351527416299
test,final-tri-model,Psychological,48,0.15932670215290043,0.03566796725867943,0.12694136478786397,0.1975556212238311
test,final-tri-model,Romance,199,0.4654187383475911,0.01766107935497791,0.45048204788648655,0.48491144146264964
test,final-tri-model,Sci-Fi,188,0.5583850768359624,0.005715701875614615,0.5520425800889535,0.5631370842649652
test,final-tri-model,Slice of Life,219,0.5296742556636312,0.0026836591910134777,0.5276019958125846,0.532705712877049
test,final-tri-model,Sports,53,0.33875018263216344,0.02990211295085988,0.3135831751779262,0.37180568334967745
test,final-tri-model,Supernatural,122,0.27200647247282417,0.017495760365068194,0.2552137266688379,0.2901293245437621
test,final-tri-model,Thriller,15,0.10597536734424186,0.027989267560701563,0.07913265647506076,0.13498520421480625
