split,row_type,seed,mAP,macro_f1,samples_f1,hamming_loss
validation,seed,42.0,0.1789508442851483,0.2777779222842301,0.208022174079266,-0.0150711301000047
validation,seed,43.0,0.1805665152607204,0.2214055124348081,0.1825485348232894,-0.0249307479224376
validation,seed,44.0,0.186781425155698,0.256655519905723,0.221259556183731,-0.0212216535987605
validation,mean,,0.1820995949005222,0.2519463182082537,0.2039434216954288,-0.0204078438737342
test,seed,42,0.14066968823902398,0.24568584117351377,0.18660377188477106,-0.00995351894455139
test,seed,43,0.1552994067336862,0.20777860704392856,0.16371655898863752,-0.021738109770411754
test,seed,44,0.15326200025925618,0.23024498378026015,0.20327494390830703,-0.016996103103432095
test,mean,,0.14974369841065546,0.22790314399923417,0.1845317582605719,-0.01622924393946508
