macro_f1,samples_f1,hamming_loss,mAP,predicted_labels_per_item,seed,split,method,run_dir
0.46854694934528096,0.561869570611765,0.12117939809380722,0.4767317522493077,2.7172167707404102,42,validation,model_threshold_0.5,experiments/takuma-exp1/outputs/seed_42
0.4353381795504902,0.5533768144829697,0.11498192403399221,0.47366603910111865,2.4049955396966993,43,validation,model_threshold_0.5,experiments/takuma-exp1/outputs/seed_43
0.4763012791421506,0.5726734955994547,0.12686041598197098,0.4847313194410213,2.9946476360392507,44,validation,model_threshold_0.5,experiments/takuma-exp1/outputs/seed_44
