epoch,train_loss,val_loss,mAP,macro_f1,samples_f1,hamming_loss,learning_rate,epoch_seconds
1,0.2085497556463261,0.1915274137210675,0.4312582690580372,0.2440483867628909,0.4054153745946787,0.1049814545283816,5e-05,
2,0.1726605104833784,0.1877084385726624,0.4562405654331009,0.363429557928869,0.506469756826581,0.1037607399408423,5e-05,
3,0.1408515630891523,0.1928135827250187,0.4613466145015183,0.40046806909604,0.5263444653275161,0.1074698342645194,5e-05,
4,0.1026685480558673,0.2093568746794769,0.4586417636129249,0.3771486081272178,0.4854254279767214,0.1083149443635851,5e-05,
5,0.0697113791890538,0.252540165669784,0.4573612289112868,0.4148872337524181,0.5376482769881521,0.1087374994131179,5e-05,
6,0.0793959161864968,0.2566431447478089,0.4539422958421426,0.3818044198715191,0.5028159124055644,0.111038076905019,5e-05,
7,0.1049452398071747,0.2605191298912509,0.4553033353006475,0.4170921158836982,0.5163945134061102,0.1140898633738673,5e-05,
8,0.0543796829717079,0.3158893192537547,0.4564028988004398,0.4278283845034544,0.5256640277157671,0.1123996431757359,5e-05,
9,0.030076168373974,0.3900225126748634,0.4504512905231143,0.4238760458937031,0.5315959736566338,0.1145593689844593,5e-05,
10,0.0196643578173713,0.4507984507174283,0.4521761503984131,0.4293542469902891,0.5372027615560175,0.1139020611296305,5e-05,
11,0.0143169218203701,0.5047072551007998,0.4518940407768278,0.4298444487438648,0.5372627768702701,0.1162495891825907,5e-05,
12,0.0108537259057789,0.5516631575326213,0.45423319307041,0.433942041118557,0.5347544862709894,0.11747030377013,5e-05,
13,0.0087510696249938,0.5681657232310918,0.4510532297068404,0.4341925396211477,0.5331604266483839,0.1156861824498802,5e-05,
