epoch,train_loss,val_loss,mAP,macro_f1,samples_f1,hamming_loss,learning_rate,epoch_seconds
1,0.2064556401246651,0.189896708096807,0.4348072121816864,0.2881335715842618,0.4356167125569444,0.1031034320860134,5e-05,
2,0.1719311657156331,0.1835287852972134,0.4674052937180022,0.3549890599126221,0.4999872562762839,0.0992534860791586,5e-05,
3,0.140692875328255,0.1921259003702175,0.4754640196088303,0.4204074708822725,0.5484256352231375,0.1049345039673224,5e-05,
4,0.1040118700930006,0.2201888313206256,0.4586779173573667,0.3974997074463938,0.5444913645181263,0.1065777736043945,5e-05,
5,0.0712758145932774,0.2615331772126649,0.4622479176575523,0.4314264227745665,0.5231755557357698,0.1118362364430255,5e-05,
6,0.0465001965566938,0.3163558848195582,0.4593866982996106,0.4182570045627688,0.5249189357574728,0.1081740926804075,5e-05,
7,0.0305419991705165,0.377902555343405,0.4583252697663333,0.428283023629775,0.5469856588054625,0.1077515376308747,5e-05,
8,0.0746440100477877,0.3231942851717827,0.4439060488646385,0.4115840703191407,0.5399789278022998,0.1121179398093807,5e-05,
9,0.0332896493604466,0.4440355844044664,0.4464519604709341,0.441936855325736,0.5470567939345816,0.1147471712286961,5e-05,
10,0.0165648501398817,0.49609693105895,0.4519268654228143,0.431666552511317,0.550726778425262,0.1134325555190384,5e-05,
11,0.0114143660142926,0.5283172235331506,0.4489611094556828,0.436987588032053,0.551571468476018,0.1122118409314991,5e-05,
12,0.0088778879391369,0.5674174566762348,0.4499021270552358,0.4410154599308422,0.5513112519356943,0.1135264566411568,5e-05,
13,0.0075968489895366,0.5932440211685718,0.4499304323547573,0.44448108863045,0.5533039069167526,0.1135264566411568,5e-05,
