epoch,seed,train_loss,val_loss,macro_f1,samples_f1,hamming_loss,mAP
1,44,0.03584271433817378,0.033519093960816045,0.027026994107098336,0.11082366934284864,0.12371472839100427,0.20294911606612756
2,44,0.033502978593297365,0.03303415415664,0.07395432098786277,0.2674426178440451,0.12315132165829382,0.22024217853335806
3,44,0.03303777126860935,0.035350901485951644,0.05639047493921393,0.2337029013210993,0.12986525188976009,0.20623654361642513
4,44,0.03291404798320791,0.03271531943733622,0.07517783277104277,0.23428557268878408,0.1220245081928729,0.22747299628048
5,44,0.03266936907434724,0.032635749210532916,0.08311434213759572,0.2834296192458548,0.11986478238414949,0.2276289172275401
6,44,0.03256708975356046,0.03267929833598375,0.07805591226523238,0.24744983928748424,0.12047513967791915,0.25003020503046136
7,44,0.032381438615566464,0.03248357555823173,0.0767015124974101,0.2569368336094473,0.12080379360533358,0.24798447271899668
8,44,0.03211358000802065,0.03308404418145515,0.08595066751874186,0.2776227291392322,0.12178975538757689,0.23327312662070315
9,44,0.03190726851484027,0.03355899999827067,0.08162758855553741,0.24843322996757428,0.12352692614676745,0.22988685233834097
10,44,0.03169465385834074,0.0322046536158016,0.08676122255961008,0.2883954235872166,0.11859711723555097,0.2590347578527848
11,44,0.03146407200736607,0.032098226199370215,0.10374380363384357,0.3134113532418617,0.11817456218601813,0.2650162403497956
12,44,0.03114667337521307,0.03340295516452972,0.09417372979836709,0.2791944550642142,0.12362082726888586,0.2570440724950951
13,44,0.030933159060274648,0.03281609315249029,0.07172844956908452,0.21997153901703415,0.12141415089910325,0.24562218159958454
14,44,0.030496694111402805,0.03235880626460253,0.11865549730958974,0.31785749684946835,0.11831541386919574,0.2610978594360662
15,44,0.030015227508909923,0.033563186297397546,0.10798321919193972,0.2842076943771859,0.12324522278041222,0.2412813089112094
16,44,0.02953220316444615,0.032173673260913804,0.11968682253029114,0.2840108746442377,0.11840931499131414,0.26092119540890407
17,44,0.028653100556752718,0.033381029312149105,0.12413708394063236,0.2939361114651034,0.12371472839100427,0.25915157302279773
18,44,0.027856934591886574,0.03354455344545108,0.12028243051885297,0.27058465372470725,0.12376167895206348,0.25229067060311633
19,44,0.02675646693229782,0.033504507744503705,0.1191796409748239,0.30023575888874726,0.12249401380346495,0.25881032539105153
20,44,0.025897430094220786,0.0354530879302178,0.15605585112459747,0.30656160174447417,0.13132071928259542,0.24493834358335018
21,44,0.024455536463001255,0.035132342343028373,0.13296016316575213,0.32080837687438934,0.1279402788863327,0.25859584179064593
22,44,0.023266189506547158,0.03466028552984256,0.1493697918464697,0.3194355946363083,0.12732992159256304,0.25616486835125957
23,44,0.022005057447943767,0.0349966092109946,0.17178922617810524,0.33920535802783797,0.12676651485985257,0.24871417752160116
24,44,0.02068502541772453,0.035305650417928075,0.1406689125077707,0.29062486725287795,0.12939574627916803,0.24109294455774713
25,44,0.019477926101504367,0.03557504839484017,0.15461587202628718,0.2798564207127989,0.1290670923517536,0.2408879439356176
26,44,0.018404918875758625,0.0369100574633301,0.15306792357140206,0.2972870028177789,0.13493591248415418,0.2419169533292874
27,44,0.017161719703565847,0.035875227176031824,0.16756314343255974,0.3193060334451949,0.1300061035729377,0.24532876509941937
28,44,0.01620285508662805,0.03858099099212093,0.1765403942576527,0.33276623762796825,0.14132118878820601,0.23489870064321905
29,44,0.015108096454697215,0.037808242587108465,0.18806557127978318,0.3086374127408918,0.13789379783088407,0.23826373652761712
30,44,0.014206765662095597,0.037237732366299015,0.185299687546212,0.32011596788581625,0.13526456641156862,0.24364766733495402
31,44,0.013524908689617532,0.037312733619262024,0.18119326791586501,0.3283137221585036,0.1362035776327527,0.24593655391754005
