epoch,seed,train_loss,val_loss,macro_f1,samples_f1,hamming_loss,mAP
1,43,0.031928893079299324,0.03968848289720827,0.0195482527046558,0.1213421973011625,0.15845814357481572,0.1789827113101785
2,43,0.03026187446343123,0.031153732470430295,0.06892376574076367,0.21520821828582756,0.12878538898539837,0.20292380206100177
3,43,0.029787868318524667,0.031931560044571504,0.05148810540211761,0.16878849666539228,0.1310859664772994,0.2061405382469046
4,43,0.029581844490164957,0.028822425882482402,0.08228949361024833,0.2638269402319357,0.11939527677355745,0.23447066430914865
5,43,0.029460031890020354,0.029599265206229675,0.06980281973534115,0.20970717754839072,0.12254096436452415,0.22055578262876765
6,43,0.02928379092099738,0.029810338504579214,0.070989718381486,0.269721620435269,0.12263486548664257,0.2315725722862923
7,43,0.02905489244976919,0.02862108315205755,0.08654299633345136,0.23863967829177465,0.11873796891872858,0.24739060041587524
8,43,0.029023864031074247,0.028797130390376943,0.07797610354515605,0.2715984877447857,0.11920747452932062,0.2535130048672478
9,43,0.028869285248531898,0.029082267908221583,0.08385296273816394,0.28772425413817027,0.12024038687262313,0.24709985834185544
10,43,0.02865812210292306,0.029636297818608947,0.06649704725020929,0.27224912563895615,0.12277571716982018,0.2478321541502953
11,43,0.02850066988943237,0.03031249482261082,0.0738670424029689,0.24415771066083286,0.12474764073430678,0.2549462897146334
12,43,0.028410280807314142,0.02989960512699664,0.07729749414262362,0.2824674681052915,0.12244706324240574,0.24149687313196253
13,43,0.028179829546750638,0.028660080075782395,0.08584798660680693,0.29178100618778585,0.11887882060190619,0.2597048166202045
14,43,0.02788894435943364,0.028387689452874246,0.08416712914074964,0.23044687991164348,0.1178459082586037,0.2646058688508399
15,43,0.02776576473496283,0.02938741985725091,0.11796888035244218,0.306476643586367,0.1200056340673271,0.2537139047036435
16,43,0.027416811416883666,0.02828156742550612,0.10357214418039382,0.2970349602820611,0.11634349030470914,0.26573846111088745
17,43,0.027035120268872944,0.03013434047735131,0.06317553940125051,0.22217195531200884,0.1240433823184187,0.24228672156646244
18,43,0.02654522224995385,0.032119497960893625,0.1295712364139226,0.2983411919629583,0.13254143387013476,0.2421684645558697
19,43,0.02611681471678699,0.029568340335237354,0.12712850558449346,0.2980034832844824,0.12169585426545847,0.2551292260004054
20,43,0.025232875962348952,0.030081501355216932,0.1194397590532816,0.2803052829814649,0.12329217334147143,0.25076505581846453
21,43,0.024378912835735966,0.029894454338248024,0.11471573473443565,0.2831004063831896,0.12268181604770177,0.25009054069020403
22,43,0.02349539250705216,0.03029769650734396,0.14831200638141673,0.3728183452982739,0.12305742053617541,0.25821376824030357
23,43,0.02250229983800681,0.03224654771208125,0.14485062857323264,0.29246421137589734,0.13376214845767406,0.24674871993507216
24,43,0.02138458244544967,0.029559299796753223,0.1337210687692548,0.2719326565000071,0.11934832621249825,0.2532442661872367
25,43,0.020289628359822804,0.03080063572121879,0.15540496574707435,0.3295137561417668,0.12545189915019483,0.25649879862503444
26,43,0.019243629212369873,0.030477677155402384,0.13856757237663317,0.2941159395664302,0.12413728344053711,0.2514299328703605
27,43,0.018232081411515572,0.030438057877236344,0.15346930895076655,0.3411848831117341,0.12291656885299779,0.25830871155303453
28,43,0.017103749326633746,0.030697330473577412,0.14300540237112994,0.287593984962406,0.12549884971125405,0.24924594829927585
29,43,0.015919669789876724,0.032977801992704996,0.16879615719784924,0.3174532376138085,0.13540541809474624,0.2438144591054712
30,43,0.015017274398353765,0.03416813808318018,0.1790446664311649,0.30819279838013114,0.14038217756702193,0.24355392722142696
31,43,0.014221188672484997,0.0328915242727158,0.17465954417011892,0.3216694792965979,0.13554626977792383,0.24467902377323902
32,43,0.013464241402561215,0.032925601463754936,0.19155828602101424,0.36377100944451524,0.1331048406028452,0.2469466813345672
33,43,0.01269057975231227,0.03408628954061113,0.1917167998238487,0.33032935445959527,0.13934926522371943,0.24020996432267483
34,43,0.01197133129288958,0.03283078899070368,0.17183657373982966,0.33754654999079614,0.13333959340814122,0.23740732322785257
35,43,0.011396449916642851,0.03275297609399622,0.15428645324667684,0.3000707984650892,0.13319874172496363,0.2342393720467036
36,43,0.01087835823394008,0.03297336042312827,0.15362377782825337,0.2828674794330459,0.135123714728391,0.2390129387680001
