epoch,train_loss,val_loss,mAP,macro_f1,samples_f1,hamming_loss,learning_rate,epoch_seconds
1,0.3318546739016658,0.3134890578348226,0.2431266188465451,0.0860542098826165,0.2772949322458689,0.1210385464106296,0.001,
2,0.3132725360105516,0.3131680227782873,0.2476200956894557,0.0756278548832418,0.2428167877320419,0.1220714587539321,0.001,
3,0.3083194138795599,0.3243308068916906,0.2512273674406886,0.0883993137028332,0.2380633787859479,0.123667777829945,0.001,
4,0.304835669061655,0.3074520207695616,0.269440135475225,0.0915019732582705,0.2401108703963298,0.1200995351894455,0.001,
5,0.3011733054435984,0.3189198464341296,0.2655186555774348,0.0906501555103237,0.27283108902199,0.1236208272688858,0.001,
6,0.2974942681498462,0.3034042219143696,0.2753327497712854,0.0975053080092701,0.2927148379423134,0.1204751396779191,0.001,
7,0.2951115492339963,0.3037957588441663,0.2763693465335636,0.1272057547433361,0.2887324242810415,0.1190196722850838,0.001,
8,0.2918637364094606,0.2975261248880789,0.2830142008689272,0.1056325989748506,0.2585205952734945,0.117000798159538,0.001,
9,0.2886626850690934,0.3003407370076447,0.2866500906494761,0.110978988146976,0.311996091924727,0.1189727217240246,0.001,
10,0.2852364083718971,0.3051558093605671,0.2822152804368529,0.126180573439646,0.2668082635968451,0.1192544250903798,0.001,
11,0.2794943693274563,0.32751635820285,0.2741319771246863,0.12140740711787,0.2567173583676705,0.1264378609324381,0.001,
12,0.2745243460755137,0.3104576991669946,0.2870687110739547,0.1430604349404582,0.3003108052617419,0.1212732992159256,0.001,
13,0.263719910091756,0.3522302570032499,0.2815835788742428,0.1833211180985674,0.3309014060575166,0.1410864359829099,0.001,
14,0.2536619264984738,0.3253148180847185,0.2737983336994045,0.1793854231621288,0.2863408521303258,0.1301469552561153,0.001,
15,0.2334293798735142,0.3411639259661232,0.2703957101806314,0.1952115641227334,0.3324795038443566,0.1313207192825954,0.001,
16,0.2102591610984955,0.3691621488699628,0.2615102153040873,0.1757644195703798,0.2902234399558217,0.1274238227146814,0.001,
17,0.1820314987084822,0.4318016484100621,0.2641734513573808,0.2169569409675857,0.3838389630985527,0.1574721817925724,0.001,
18,0.1501127346856021,0.4439710200258284,0.2665047554105653,0.2499182477754345,0.3839788222482245,0.1569557256209211,0.001,
19,0.1207408780922271,0.5399622428534182,0.2385690437501984,0.1908063666229336,0.3377763875533723,0.1612282266773088,0.001,
