replicate_id,attempt_id,n_rows,n_unique_groups,baseline_seed_42_map,baseline_seed_43_map,baseline_seed_44_map,baseline_mean_map,final_seed_42_map,final_seed_43_map,final_seed_44_map,final_mean_map,delta_map
1,1,1100,432,0.3035993069960993,0.2886365805913828,0.2920965030949967,0.2947774635608263,0.4555744811584423,0.4514083994450186,0.4576913901756292,0.4548914235930301,0.1601139600322038
2,2,1172,434,0.31756584136924493,0.2996663631502017,0.29901130909535406,0.30541450453826685,0.4598700241336154,0.4643975143097217,0.46245702342991224,0.4622415206244164,0.15682701608614957
3,3,1135,437,0.29029179192326876,0.29586620843107897,0.28680164599094987,0.29098654878176583,0.43365638148028696,0.4428223667968747,0.4369472079354968,0.43780865207088615,0.14682210328912032
4,4,1170,425,0.3185089967386451,0.30351801082405816,0.313554762834954,0.3118605901325524,0.46275213303808577,0.4585751739336442,0.4499267181214088,0.4570846750310463,0.14522408489849387
5,5,1217,426,0.32155513037566735,0.30337426225421926,0.3135099258815966,0.3128131061704944,0.4696128351337575,0.47783596827312375,0.47654987745298666,0.4746662269532893,0.1618531207827949
6,6,1144,428,0.2852489278109,0.2833518868305243,0.28071849724802656,0.2831064372964836,0.4421853130404122,0.4416786137877645,0.43462689787654724,0.4394969415682413,0.1563905042717577
7,7,1118,431,0.3136129879291746,0.29382496164721117,0.3045358931196133,0.3039912808986664,0.4404171466815959,0.4444605475379085,0.44687641290590735,0.4439180357084706,0.1399267548098042
8,8,1237,420,0.3120841479265037,0.29910624090088206,0.29391017034979405,0.30170018639239327,0.4440635786410081,0.45168907387749835,0.45164872863634353,0.4491337937182833,0.14743360732589006
9,9,1127,430,0.3135213765089114,0.30090699475511545,0.30876710318466927,0.307731824816232,0.4509917785912914,0.4654445183692055,0.45656226891417395,0.4576661886248903,0.14993436380865827
10,10,1215,428,0.32172810847884237,0.3209565301629489,0.3037396030460234,0.31547474722927155,0.4695921002511807,0.4621908430303929,0.46311320286803587,0.4649653820498698,0.14949063482059827
11,11,1102,422,0.32204715204453577,0.3029249667673026,0.32686520558750715,0.31727910813311516,0.45138867541896394,0.4527855044184109,0.45104627769257033,0.45174015250998173,0.13446104437686657
12,12,1100,412,0.3132406830546995,0.3038976627953587,0.3100898975631018,0.30907608113771995,0.45956431899883393,0.45295854447965284,0.4506298150829491,0.4543842261871453,0.14530814504942535
13,13,1069,437,0.33036919008440013,0.3108759045917995,0.3050657779845569,0.31543695755358553,0.46390241626924644,0.4617548229404195,0.46571626448807174,0.4637911678992459,0.14835421034566038
14,14,1148,432,0.31628585920330665,0.28953433101851117,0.29485026428547195,0.3002234848357633,0.4572820670636748,0.46491624517947605,0.4723531248582555,0.4648504790338021,0.16462699419803883
15,15,1166,433,0.3126156786360855,0.30092446743436035,0.30735443541984786,0.3069648604967646,0.4518157711367242,0.4450180052985743,0.4631600608160036,0.45333127908376736,0.14636641858700278
16,16,1200,427,0.31100175150977855,0.3065710120238137,0.3142253740940445,0.31059937920921227,0.45502000895872446,0.456518108739541,0.4653020086433411,0.4589467087805355,0.14834732957132324
17,17,1120,432,0.3125088029905719,0.30182572940485464,0.2963512175975369,0.30356191666432114,0.44753782836141953,0.4488037774076897,0.45164009406888017,0.4493272332793297,0.14576531661500858
18,18,1063,422,0.30856037433448624,0.28899538264006247,0.2961388318407244,0.2978981962717577,0.4330250238862774,0.4285604399566307,0.44588516913041154,0.43582354432443987,0.1379253480526822
19,19,1151,423,0.3186235887513718,0.308505994435082,0.31310433681640965,0.3134113066676212,0.4674805375450885,0.4668094967568636,0.46540429166546415,0.46656477532247215,0.15315346865485097
20,20,1167,423,0.2968813138975528,0.2907109397648978,0.28597006500123306,0.2911874395545612,0.45443635800169946,0.45441915570761937,0.45174798102617014,0.453534498245163,0.1623470586906018
21,21,1150,412,0.3194146183178567,0.3104738214346778,0.31117640395896373,0.3136882812371661,0.4686099843064893,0.4653067715285715,0.4735920388646526,0.4691695982332378,0.1554813169960717
22,22,1103,422,0.30454335455005027,0.298219770175853,0.2921014260833231,0.29828818360307546,0.4374422841158731,0.4289138258166827,0.43637258811315494,0.43424289934857024,0.13595471574549478
23,23,1173,444,0.29451717545313744,0.28803850287467403,0.2915555691844197,0.29137041583741036,0.4478454375874812,0.45120169478929073,0.45776925328271795,0.4522721285531633,0.16090171271575293
24,24,1009,423,0.2991323665810773,0.2919603509157465,0.3000852049938418,0.2970593074968885,0.44479116152318454,0.44276151601049235,0.4397563514809842,0.442436343004887,0.14537703550799846
25,25,1084,414,0.3129840219951369,0.3013271062498714,0.2997608204670641,0.3046906495706908,0.46072435574576487,0.46389535924132674,0.46419110852841156,0.4629369411718344,0.15824629160114362
26,26,1246,421,0.2871786144378055,0.2906913217217398,0.2894600299598579,0.2891099887064677,0.4408024752588367,0.450865559266485,0.44437169453820036,0.4453465763545073,0.1562365876480396
27,27,1075,428,0.2812681077273869,0.287975432555585,0.2774878842862667,0.2822438081897462,0.42218857721822245,0.41805003744868713,0.43503356090592776,0.42509072519094576,0.14284691700119956
28,28,1137,426,0.3041910152248347,0.29399839292378066,0.2860127905189006,0.29473406622250536,0.43428421916056364,0.44421161220577493,0.4466845927360205,0.4417268080341197,0.1469927418116143
29,29,1220,436,0.3084377446199103,0.29452563192304476,0.2940658329460731,0.2990097364963427,0.440353936963123,0.4507898650863386,0.4470241303149668,0.44605597745480946,0.14704624095846675
