split,method,macro_f1,samples_f1,hamming_loss,mAP,predicted_labels_per_item
validation,model_threshold_0.5,0.10238071053794887,0.3106332214717585,0.11925442509037983,0.28643605052514387,0.8465655664585192
validation,model_validation_optimized_thresholds,0.3473317041617275,0.4352276020223701,0.2146579651626837,0.28643605052514387,4.7252453166815345
test,model_threshold_0.5,0.11328585251896688,0.32398581198759613,0.1179867599417813,0.2875360499848646,0.8572702943800179
test,model_validation_optimized_thresholds,0.3252171715218049,0.4317794747741749,0.2177567021925912,0.2875360499848646,4.685102586975915
