Epoch,Train_Loss,Val_Loss,Macro_F1,Samples_F1,Hamming_Loss,mAP
1,0.3306966893665224,0.3301141507704273,0.05281766517052072,0.22633702901321096,0.12676651485985257,0.21648923671214226
2,0.31461067580745544,0.3496982874240756,0.08190946167931279,0.2121638842869886,0.13127376872153623,0.23436486250838529
3,0.31002444846030924,0.31549683098916387,0.07381573289212935,0.25553785593928324,0.12324522278041222,0.24328125761106578
4,0.3069216076738403,0.31038042591896364,0.0783054900761927,0.206021409455843,0.12216535987605052,0.25935785900480374
5,0.30440169367205155,0.311782147712095,0.09417881648232558,0.25327796893363347,0.12047513967791915,0.2531073671747094
6,0.30153587477154215,0.3089114987456724,0.10653879081931118,0.2770981125129207,0.12099159584957041,0.2607126376115991
7,0.2981409171143453,0.30931371346740827,0.10242616537798872,0.2470392081899664,0.12249401380346495,0.2674075549015387
8,0.2965850506834224,0.30844841497376174,0.11201238541511876,0.3012113617376775,0.12052209023897835,0.2625242467327503
9,0.2933678760703712,0.36577459741765955,0.07349704694295255,0.23102530337142294,0.13254143387013476,0.2606196995466436
10,0.2906923759285728,0.32017497262393224,0.09988293419334655,0.29390637610976594,0.12324522278041222,0.2647914579498247
11,0.28575905124710194,0.3783469744604895,0.10400726053661688,0.28778938872605236,0.12972440020658246,0.2514240421280773
12,0.2830837168796821,0.3159645171063378,0.13147651381334305,0.29399204225252396,0.12160195314334006,0.27554659232732603
13,0.2761138078090241,0.32703718487223166,0.11278021466617576,0.29798649165286095,0.12667261373773417,0.2659542664148677
14,0.26982555558296323,0.31215176438243125,0.12918963848948692,0.25695878113362497,0.12221231043710973,0.27202781388351355
15,0.25884790570325744,0.3288597139155195,0.16689753898675436,0.3034825764977415,0.1269543171040894,0.2622250625982359
16,0.24242264657224463,0.339169777285085,0.1944165443414239,0.3396216530025629,0.1329639889196676,0.2680161620816638
17,0.22217763544286856,0.3708540826477609,0.14338646509888897,0.3545636690596547,0.12671956429879336,0.2627774022117816
18,0.19311552108551916,0.4224654525438661,0.19367520952969616,0.35875030411158865,0.14897413024085637,0.24164459927247614
19,0.16320163028353596,0.4200278795477963,0.18422777533437135,0.3131925859847358,0.14564064040565286,0.2330336654570771
20,0.13287590997412332,0.4720068492068445,0.2016298704603463,0.34379979223868606,0.15409174139630968,0.23818099137095664
21,0.09977738878663608,0.5285695884825394,0.18758656889611344,0.3102092673903557,0.14366871684116625,0.24136816796533758
22,0.07304620457318421,0.5176351301697724,0.21673289551959699,0.3497282626185391,0.14949058641250762,0.23432968248197286
23,0.0527338983441778,0.6312536370743608,0.19274875381734058,0.3044887514111421,0.14568759096671205,0.235954772351971
24,0.03719317577396657,0.632406410099033,0.21063961520944063,0.3780829191623125,0.151415559415935,0.23932000790512864
25,0.025768027767003335,0.6632144259194196,0.20923663181106472,0.3273181670148664,0.14371566740222547,0.24354126303529786
26,0.019687955392395876,0.6988442019625076,0.20386343309387236,0.30905801998576304,0.14362176628010706,0.23226228661532697
27,0.015133316967600162,0.7679919733414152,0.20519356217886234,0.3535025931546895,0.14690830555425138,0.2413791843686992
28,0.012176589778719823,0.8159555880540614,0.18824249424531225,0.33596066437279637,0.1409455842997324,0.23808455422216718
29,0.010455040477629657,0.8021622794637927,0.20314153811692073,0.3250391792764674,0.14878632799661956,0.23979511874733453
30,0.010316189898801219,0.8248107832101282,0.189010689971894,0.3454811914223154,0.137189539414996,0.24339077884155924
31,0.008348725621038593,0.8475253505434551,0.19574234990285128,0.34277881400985766,0.1361096765106343,0.24064645838092683
32,0.008245831904607408,0.885079958415478,0.18955123324083695,0.3416049754586775,0.14559368984459364,0.23589726802559605
33,0.009029279744978946,0.8736913480150391,0.20047270755960497,0.34406155347279344,0.1392084135405418,0.23813100772050597
34,0.014568545923478783,0.8929335153815365,0.20875830672475715,0.34326565000070797,0.15193201558758626,0.23596614212777997
35,0.020954066901846737,0.9750520500298806,0.19531561419567361,0.3198922447361341,0.14864547631344194,0.22625402830164434
36,0.02138661929065493,0.892872866618644,0.21208763545348902,0.37142483841859397,0.14244800225362694,0.23879283115885172
37,0.01293847344113262,0.905885932171164,0.1977974242450815,0.3612740763052984,0.1431992112305742,0.23670660177076144
38,0.007276625019103368,0.8679328141842008,0.21723064233122438,0.32964827322543644,0.15493685149537537,0.23761157619740012
39,0.004941774812859,0.8635244026554152,0.21016944913281776,0.3691451426955441,0.14859852575238275,0.23610632621558666
40,0.0033840149719487683,0.8963545149293571,0.2070594674476893,0.34435169845517744,0.13826940231935772,0.2427985734247339
41,0.0025379950150184478,0.893221722555203,0.2133783540821993,0.342473415176359,0.14376261796328466,0.24032631280368225
42,0.002100804624841968,0.9270794390568661,0.20814348960461693,0.3413944465683984,0.1383163528804169,0.24306907581084006
